Year,Coach,School,Conf,W,L,Pct
2021,Kirby Smart,Georgia,SEC,14,1,0.933
2021,Luke Fickell,Cincinnati,American,13,1,0.929
2021,Nick Saban,Alabama,SEC,13,2,0.867
2021,Billy Napier,Louisiana,Sun Belt,12,1,0.923
2021,Dave Aranda,Baylor,Big 12,12,2,0.857
2021,Mike Gundy,Oklahoma State,Big 12,12,2,0.857
2021,Jim Harbaugh,Michigan,Big Ten,12,2,0.857
2021,Brady Hoke,San Diego State,MWC,12,2,0.857
2021,Dana Holgorsen,Houston,American,12,2,0.857
2021,Jeff Traylor,UTSA,CUSA,12,2,0.857
2021,Brian Kelly,Notre Dame,Ind,11,1,0.917
2021,Jamey Chadwell,Coastal Carolina,Sun Belt,11,2,0.846
2021,Ryan Day,Ohio State,Big Ten,11,2,0.846
2021,Mel Tucker II,Michigan State,Big Ten,11,2,0.846
2021,Blake Anderson,Utah State,MWC,11,3,0.786
2021,Dave Clawson,Wake Forest,ACC,11,3,0.786
2021,Pat Narduzzi,Pitt,ACC,11,3,0.786
2021,Lincoln Riley,Oklahoma,Big 12,10,2,0.833
2021,Troy Calhoun,Air Force,MWC,10,3,0.769
2021,Mario Cristobal,Oregon,Pac-12,10,3,0.769
2021,Lane Kiffin,Ole Miss,SEC,10,3,0.769
2021,Kalani Sitake,Brigham Young,Ind,10,3,0.769
2021,Mark Stoops,Kentucky,SEC,10,3,0.769
2021,Dabo Swinney,Clemson,ACC,10,3,0.769
2021,Shawn Clark,Appalachian State,Sun Belt,10,4,0.714
2021,Kirk Ferentz,Iowa,Big Ten,10,4,0.714
2021,Kyle Whittingham,Utah,Pac-12,10,4,0.714
2021,Kalen DeBoer,Fresno State,MWC,9,3,0.75
2021,Dave Doeren,North Carolina State,ACC,9,3,0.75
2021,Jeff Brohm,Purdue,Big Ten,9,4,0.692
2021,Paul Chryst,Wisconsin,Big Ten,9,4,0.692
2021,Bill Clark,UAB,CUSA,9,4,0.692
2021,P.J. Fleck,Minnesota,Big Ten,9,4,0.692
2021,Gus Malzahn,UCF,American,9,4,0.692
2021,Jim McElwain,Central Michigan,MAC,9,4,0.692
2021,Jeff Monken,Army,Ind,9,4,0.692
2021,Sam Pittman,Arkansas,SEC,9,4,0.692
2021,Thomas Hammock,Northern Illinois,MAC,9,5,0.643
2021,Tyson Helton,Western Kentucky,CUSA,9,5,0.643
2021,Sonny Dykes,SMU,American,8,4,0.667
2021,Jimbo Fisher,Texas A&M,SEC,8,4,0.667
2021,Chip Kelly,UCLA,Pac-12,8,4,0.667
2021,Jay Norvell,Nevada,MWC,8,4,0.667
2021,Herm Edwards,Arizona State,Pac-12,8,5,0.615
2021,Shawn Elliott,Georgia State,Sun Belt,8,5,0.615
2021,Hugh Freeze,Liberty,,8,5,0.615
2021,Chris Klieman,Kansas State,Big 12,8,5,0.615
2021,Tim Lester,Western Michigan,MAC,8,5,0.615
2021,Andy Avalos,Boise State,MWC,7,5,0.583
2021,Manny Diaz,Miami (FL),ACC,7,5,0.583
2021,Mike Houston,East Carolina,American,7,5,0.583
2021,Shane Beamer,South Carolina,SEC,7,6,0.538
2021,Craig Bohl,Wyoming,MWC,7,6,0.538
2021,Matt Campbell,Iowa State,Big 12,7,6,0.538
2021,Jason Candle,Toledo,MAC,7,6,0.538
2021,Chris Creighton,Eastern Michigan,MAC,7,6,0.538
2021,Dana Dimel,UTEP,CUSA,7,6,0.538
2021,James Franklin,Penn State,Big Ten,7,6,0.538
2021,Josh Heupel,Tennessee,SEC,7,6,0.538
2021,Charles Huff,Marshall,CUSA,7,6,0.538
2021,Mike Leach,Mississippi State,SEC,7,6,0.538
2021,Mike Locksley,Maryland,Big Ten,7,6,0.538
2021,Chuck Martin,Miami (OH),MAC,7,6,0.538
2021,Philip Montgomery,Tulsa,American,7,6,0.538
2021,Jonathan Smith,Oregon State,Pac-12,7,6,0.538
2021,Rick Stockstill,Middle Tennessee State,CUSA,7,6,0.538
2021,Sean Lewis,Kent State,MAC,7,7,0.5
2021,Jeff Hafley,Boston College,ACC,6,6,0.5
2021,Bronco Mendenhall,Virginia,ACC,6,6,0.5
2021,Ed Orgeron,LSU,SEC,6,6,0.5
2021,Ryan Silverfield,Memphis,American,6,6,0.5
2021,Mack Brown,North Carolina,ACC,6,7,0.462
2021,Neal Brown,West Virginia,Big 12,6,7,0.462
2021,Eli Drinkwitz,Missouri,SEC,6,7,0.462
2021,Todd Graham,Hawaii,MWC,6,7,0.462
2021,Bryan Harsin,Auburn,SEC,6,7,0.462
2021,Seth Littrell,North Texas,CUSA,6,7,0.462
2021,Mike Neu,Ball State,MAC,6,7,0.462
2021,Ricky Rahne,Old Dominion,CUSA,6,7,0.462
2021,Scott Satterfield,Louisville,ACC,6,7,0.462
2021,Matt Wells,Texas Tech,Big 12,5,3,0.625
2021,Justin Fuente,Virginia Tech,ACC,5,5,0.5
2021,Chip Lindsey,Troy,Sun Belt,5,6,0.455
2021,Dan Mullen,Florida,SEC,5,6,0.455
2021,Dino Babers,Syracuse,ACC,5,7,0.417
2021,Bret Bielema,Illinois,Big Ten,5,7,0.417
2021,Brent Brennan,San Jose State,MWC,5,7,0.417
2021,Will Healy,Charlotte,CUSA,5,7,0.417
2021,Mike Norvell,Florida State,ACC,5,7,0.417
2021,Steve Sarkisian,Texas,Big 12,5,7,0.417
2021,Willie Taggart,Florida Atlantic,CUSA,5,7,0.417
2021,Justin Wilcox,California,Pac-12,5,7,0.417
2021,Kane Wommack,South Alabama,Sun Belt,5,7,0.417
2021,Greg Schiano,Rutgers,Big Ten,5,8,0.385
2021,Nick Rolovich,Washington State,Pac-12,4,3,0.571
2021,Jimmy Lake,Washington,Pac-12,4,5,0.444
2021,Mike Bloomgren,Rice,CUSA,4,8,0.333
2021,Terry Bowden,Louisiana-Monroe,Sun Belt,4,8,0.333
2021,Karl Dorrell,Colorado,Pac-12,4,8,0.333
2021,Maurice Linguist,Buffalo,MAC,4,8,0.333
2021,Scot Loeffler,Bowling Green State,MAC,4,8,0.333
2021,Ken Niumatalolo,Navy,American,4,8,0.333
2021,Jake Spavital,Texas State,Sun Belt,4,8,0.333
2021,Jake Dickert,Washington State,Pac-12,3,3,0.5
2021,Gary Patterson,TCU,Big 12,3,5,0.375
2021,Donte Williams,USC,Pac-12,3,7,0.3
2021,Steve Addazio,Colorado State,MWC,3,9,0.25
2021,Tim Albin,Ohio,MAC,3,9,0.25
2021,Rod Carey,Temple,American,3,9,0.25
2021,Geoff Collins,Georgia Tech,ACC,3,9,0.25
2021,David Cutcliffe,Duke,ACC,3,9,0.25
2021,Pat Fitzgerald,Northwestern,Big Ten,3,9,0.25
2021,Scott Frost,Nebraska,Big Ten,3,9,0.25
2021,Danny Gonzales,New Mexico,MWC,3,9,0.25
2021,Will Hall,Southern Mississippi,CUSA,3,9,0.25
2021,Skip Holtz,Louisiana Tech,CUSA,3,9,0.25
2021,David Shaw,Stanford,Pac-12,3,9,0.25
2021,Jerry Kill,TCU,Big 12,2,2,0.5
2021,Sonny Cumbie,Texas Tech,Big 12,2,3,0.4
2021,Kevin Whitley,Georgia Southern,Sun Belt,2,6,0.25
2021,Tom Arth,Akron,MAC,2,7,0.222
2021,Tom Allen,Indiana,Big Ten,2,10,0.167
2021,Marcus Arroyo,UNLV,MWC,2,10,0.167
2021,Willie Fritz,Tulane,American,2,10,0.167
2021,Butch Jones,Arkansas State,Sun Belt,2,10,0.167
2021,Clark Lea,Vanderbilt,SEC,2,10,0.167
2021,Lance Leipold,Kansas,Big 12,2,10,0.167
2021,Doug Martin,New Mexico State,,2,10,0.167
2021,Jeff Scott,South Florida,American,2,10,0.167
2021,Michael Desormeaux,Louisiana,Sun Belt,1,0,1
2021,Greg Knox,Florida,SEC,1,0,1
2021,Lee Marks,Fresno State,MWC,1,0,1
2021,Bob Stoops,Oklahoma,Big 12,1,0,1
2021,Clay Helton,USC,Pac-12,1,1,0.5
2021,J.C. Price,Virginia Tech,ACC,1,2,0.333
2021,Chad Lunsford,Georgia Southern,Sun Belt,1,3,0.25
2021,Walt Bell,Massachusetts,Ind,1,8,0.111
2021,Lou Spanos,Connecticut,American,1,9,0.1
2021,Butch Davis,Florida International,CUSA,1,11,0.083
2021,Jedd Fisch,Arizona,Pac-12,1,11,0.083
2021,Brad Davis,LSU,SEC,0,1,0
2021,Randy Edsall,Connecticut,American,0,2,0
2021,Marcus Freeman,Notre Dame,Ind,0,1,0
2021,Bob Gregory,Washington,Pac-12,0,3,0
2021,Brandon Hall,Troy,Sun Belt,0,1,0
2021,Bryan McClendon,Oregon,Pac-12,0,1,0
2021,Alex Miller,Massachusetts,Ind,0,3,0
2021,Oscar Rodriguez Jr.,Akron,MAC,0,3,0
2021,Vai Taua,Nevada,MWC,0,1,0
2021,Jim Leavitt,SMU,American,,,
2021,Jess Simpson,Miami (FL),ACC,,,
