Year,Coach,School,Conf,W,L,Pct
2013,Jimbo Fisher,Florida State,ACC,14,0,1
2013,Mark Dantonio,Michigan State,Big Ten,13,1,0.929
2013,George O'Leary,UCF,American,12,1,0.923
2013,Charlie Strong,Louisville,American,12,1,0.923
2013,Rod Carey,Northern Illinois,MAC,12,2,0.857
2013,Gus Malzahn,Auburn,SEC,12,2,0.857
2013,Urban Meyer,Ohio State,Big Ten,12,2,0.857
2013,Gary Pinkel,Missouri,SEC,12,2,0.857
2013,Art Briles,Baylor,Big 12,11,2,0.846
2013,Tim DeRuyter,Fresno State,MWC,11,2,0.846
2013,Mark Helfrich,Oregon,Pac-12,11,2,0.846
2013,Nick Saban,Alabama,SEC,11,2,0.846
2013,Steve Spurrier,South Carolina,SEC,11,2,0.846
2013,Bob Stoops,Oklahoma,Big 12,11,2,0.846
2013,Dabo Swinney,Clemson,ACC,11,2,0.846
2013,David Shaw,Stanford,Pac-12,11,3,0.786
2013,Mike Gundy,Oklahoma State,Big 12,10,3,0.769
2013,Pete Lembo,Ball State,MAC,10,3,0.769
2013,Ruffin McNeill,East Carolina,CUSA,10,3,0.769
2013,Les Miles,LSU,SEC,10,3,0.769
2013,Jim Mora,UCLA,Pac-12,10,3,0.769
2013,David Bailiff,Rice,CUSA,10,4,0.714
2013,Dave Clawson,Bowling Green State,MAC,10,4,0.714
2013,David Cutcliffe,Duke,ACC,10,4,0.714
2013,Todd Graham,Arizona State,Pac-12,10,4,0.714
2013,Doc Holliday,Marshall,CUSA,10,4,0.714
2013,Gary Andersen,Wisconsin,Big Ten,9,4,0.692
2013,James Franklin,Vanderbilt,SEC,9,4,0.692
2013,Al Golden,Miami (FL),ACC,9,4,0.692
2013,Mark Hudspeth,Louisiana,Sun Belt,9,4,0.692
2013,Brian Kelly,Notre Dame,Ind,9,4,0.692
2013,Dan McCarney,North Texas,CUSA,9,4,0.692
2013,Ken Niumatalolo,Navy,Ind,9,4,0.692
2013,Bo Pelini,Nebraska,Big Ten,9,4,0.692
2013,Kevin Sumlin,Texas A&M,SEC,9,4,0.692
2013,Tommy Tuberville,Cincinnati,American,9,4,0.692
2013,Matt Wells,Utah State,MWC,9,5,0.643
2013,Chris Petersen,Boise State,MWC,8,4,0.667
2013,Bobby Petrino,Western Kentucky,Sun Belt,8,4,0.667
2013,Steve Sarkisian,Washington,Pac-12,8,4,0.667
2013,Frank Beamer,Virginia Tech,ACC,8,5,0.615
2013,Mack Brown,Texas,Big 12,8,5,0.615
2013,Kirk Ferentz,Iowa,Big Ten,8,5,0.615
2013,Hugh Freeze,Ole Miss,SEC,8,5,0.615
2013,Jerry Kill,Minnesota,Big Ten,8,5,0.615
2013,Kliff Kingsbury,Texas Tech,Big 12,8,5,0.615
