Year,Coach,School,Conf,W,L,Pct
2018,Nick Saban,Alabama,SEC,14,1,0.933
2018,Dabo Swinney,Clemson,ACC,14,1,0.933
2018,P.J. Fleck,Western Michigan,MAC,13,1,0.929
2018,Chris Petersen,Washington,Pac-12,12,2,0.857
2018,Urban Meyer,Ohio State,Big Ten,11,2,0.846
2018,Bob Stoops,Oklahoma,Big 12,11,2,0.846
2018,Paul Chryst,Wisconsin,Big Ten,11,3,0.786
2018,James Franklin,Penn State,Big Ten,11,3,0.786
2018,Rocky Long,San Diego State,MWC,11,3,0.786
2018,Willie Taggart,South Florida,American,10,2,0.833
2018,Jeff Brohm,Western Kentucky,CUSA,10,3,0.769
2018,Neal Brown,Troy,Sun Belt,10,3,0.769
2018,Troy Calhoun,Air Force,MWC,10,3,0.769
2018,Jimbo Fisher,Florida State,ACC,10,3,0.769
2018,Mike Gundy,Oklahoma State,Big 12,10,3,0.769
2018,Jim Harbaugh,Michigan,Big Ten,10,3,0.769
2018,Bryan Harsin,Boise State,MWC,10,3,0.769
2018,Clay Helton,USC,Pac-12,10,3,0.769
2018,Dana Holgorsen,West Virginia,Big 12,10,3,0.769
2018,Philip Montgomery,Tulsa,American,10,3,0.769
2018,Matt Rhule,Temple,American,10,3,0.769
2018,Scott Satterfield,Appalachian State,Sun Belt,10,3,0.769
2018,David Shaw,Stanford,Pac-12,10,3,0.769
2018,Bobby Wilder,Old Dominion,CUSA,10,3,0.769
2018,Justin Fuente,Virginia Tech,ACC,10,4,0.714
2018,Mike MacIntyre,Colorado,Pac-12,10,4,0.714
2018,Tom Herman,Houston,American,9,3,0.75
2018,Jason Candle,Toledo,MAC,9,4,0.692
2018,Tracy Claeys,Minnesota,Big Ten,9,4,0.692
2018,Bob Davie,New Mexico,MWC,9,4,0.692
2018,Paul Johnson,Georgia Tech,ACC,9,4,0.692
2018,Butch Jones,Tennessee,SEC,9,4,0.692
2018,Jim McElwain,Florida,SEC,9,4,0.692
2018,Bobby Petrino,Louisville,ACC,9,4,0.692
2018,Paul Petrino,Idaho,Sun Belt,9,4,0.692
2018,Mark Richt,Miami (FL),ACC,9,4,0.692
2018,Mike Riley,Nebraska,Big Ten,9,4,0.692
2018,Kalani Sitake,Brigham Young,Ind,9,4,0.692
2018,Bill Snyder,Kansas State,Big 12,9,4,0.692
2018,Kyle Whittingham,Utah,Pac-12,9,4,0.692
2018,Skip Holtz,Louisiana Tech,CUSA,9,5,0.643
2018,Ken Niumatalolo,Navy,American,9,5,0.643
2018,Blake Anderson,Arkansas State,Sun Belt,8,5,0.615
2018,Larry Fedora,North Carolina,ACC,8,5,0.615
2018,Kirk Ferentz,Iowa,Big Ten,8,5,0.615
2018,Mike Leach,Washington State,Pac-12,8,5,0.615
2018,Gus Malzahn,Auburn,SEC,8,5,0.615
2018,Jeff Monken,Army,Ind,8,5,0.615
2018,Pat Narduzzi,Pitt,ACC,8,5,0.615
2018,Mike Norvell,Memphis,American,8,5,0.615
2018,Kirby Smart,Georgia,SEC,8,5,0.615
2018,Rick Stockstill,Middle Tennessee State,CUSA,8,5,0.615
2018,Kevin Sumlin,Texas A&M,SEC,8,5,0.615
2018,Craig Bohl,Wyoming,MWC,8,6,0.571
2018,Frank Solich,Ohio,MAC,8,6,0.571
2018,Steve Addazio,Boston College,ACC,7,6,0.538
2018,Bret Bielema,Arkansas,SEC,7,6,0.538
2018,Mike Bobo,Colorado State,MWC,7,6,0.538
2018,Dave Clawson,Wake Forest,ACC,7,6,0.538
2018,Chris Creighton,Eastern Michigan,MAC,7,6,0.538
2018,Dave Doeren,North Carolina State,ACC,7,6,0.538
2018,Pat Fitzgerald,Northwestern,Big Ten,7,6,0.538
2018,Jim Grobe,Baylor,Big 12,7,6,0.538
2018,Jay Hopson,Southern Mississippi,CUSA,7,6,0.538
2018,Mark Stoops,Kentucky,SEC,7,6,0.538
2018,Nick Rolovich,Hawaii,MWC,7,7,0.5
2018,Ed Orgeron,LSU,SEC,6,2,0.75
2018,Kevin Wilson,Indiana,Big Ten,6,6,0.5
2018,John Bonamego,Central Michigan,MAC,6,7,0.462
2018,D.J. Durkin,Maryland,Big Ten,6,7,0.462
2018,Scott Frost,UCF,American,6,7,0.462
2018,Mark Hudspeth,Louisiana,Sun Belt,6,7,0.462
2018,Joey Jones,South Alabama,Sun Belt,6,7,0.462
2018,Chuck Martin,Miami (OH),MAC,6,7,0.462
2018,Derek Mason,Vanderbilt,SEC,6,7,0.462
2018,Dan Mullen,Mississippi State,SEC,6,7,0.462
2018,Will Muschamp,South Carolina,SEC,6,7,0.462
2018,Gary Patterson,TCU,Big 12,6,7,0.462
2018,Frank Wilson,UTSA,CUSA,6,7,0.462
2018,Terry Bowden,Akron,MAC,5,7,0.417
2018,Rod Carey,Northern Illinois,MAC,5,7,0.417
2018,Sonny Dykes,California,Pac-12,5,7,0.417
2018,Hugh Freeze,Ole Miss,SEC,5,7,0.417
2018,Todd Graham,Arizona State,Pac-12,5,7,0.417
2018,Kliff Kingsbury,Texas Tech,Big 12,5,7,0.417
2018,Chad Morris,SMU,American,5,7,0.417
2018,Brian Polian,Nevada,MWC,5,7,0.417
2018,Charlie Strong,Texas,Big 12,5,7,0.417
2018,Tyson Summers,Georgia Southern,Sun Belt,5,7,0.417
2018,Seth Littrell,North Texas,CUSA,5,8,0.385
2018,Ron Cooper,Florida International,CUSA,4,4,0.5
2018,Gary Andersen,Oregon State,Pac-12,4,8,0.333
2018,Dino Babers,Syracuse,ACC,4,8,0.333
2018,Ron Caragher,San Jose State,MWC,4,8,0.333
2018,David Cutcliffe,Duke,ACC,4,8,0.333
2018,Willie Fritz,Tulane,American,4,8,0.333
2018,Mark Helfrich,Oregon,Pac-12,4,8,0.333
2018,Mike Jinks,Bowling Green State,MAC,4,8,0.333
2018,Brian Kelly,Notre Dame,Ind,4,8,0.333
2018,Sean Kugler,UTEP,CUSA,4,8,0.333
2018,Brad Lambert,Charlotte,CUSA,4,8,0.333
2018,Jim Mora,UCLA,Pac-12,4,8,0.333
2018,Mike Neu,Ball State,MAC,4,8,0.333
2018,Barry Odom,Missouri,SEC,4,8,0.333
2018,Tony Sanchez,UNLV,MWC,4,8,0.333
2018,Tommy Tuberville,Cincinnati,American,4,8,0.333
2018,Matt Viator,Louisiana-Monroe,Sun Belt,4,8,0.333
2018,Darrell Hazell,Purdue,Big Ten,3,3,0.5
2018,David Bailiff,Rice,CUSA,3,9,0.25
2018,Matt Campbell,Iowa State,Big 12,3,9,0.25
2018,Mark Dantonio,Michigan State,Big Ten,3,9,0.25
2018,Bob Diaco,Connecticut,American,3,9,0.25
2018,Paul Haynes,Kent State,MAC,3,9,0.25
2018,Doc Holliday,Marshall,CUSA,3,9,0.25
2018,Doug Martin,New Mexico State,Sun Belt,3,9,0.25
2018,Scottie Montgomery,East Carolina,American,3,9,0.25
2018,Charlie Partridge,Florida Atlantic,CUSA,3,9,0.25
2018,Rich Rodriguez,Arizona,Pac-12,3,9,0.25
2018,Lovie Smith,Illinois,Big Ten,3,9,0.25
2018,Matt Wells,Utah State,MWC,3,9,0.25
2018,Les Miles,LSU,SEC,2,2,0.5
2018,Trent Miles,Georgia State,Sun Belt,2,8,0.2
2018,Chris Ash,Rutgers,Big Ten,2,10,0.167
2018,David Beaty,Kansas,Big 12,2,10,0.167
2018,Lance Leipold,Buffalo,MAC,2,10,0.167
2018,Bronco Mendenhall,Virginia,ACC,2,10,0.167
2018,Mark Whipple,Massachusetts,MAC,2,10,0.167
2018,Everett Withers,Texas State,Sun Belt,2,10,0.167
2018,Nick Holt,Western Kentucky,CUSA,1,0,1
2018,TJ Weist,South Florida,American,1,0,1
2018,Tim Lappano,Georgia State,Sun Belt,1,1,0.5
2018,Tim DeRuyter,Fresno State,MWC,1,7,0.125
2018,Tom Allen,Indiana,Big Ten,0,1,0
2018,Major Applewhite,Houston,American,0,1,0
2018,Ed Foley,Temple,American,0,1,0
2018,Eric Kiesau,Fresno State,MWC,0,4,0
2018,Gerad Parker,Purdue,Big Ten,0,6,0
2018,Ron Turner,Florida International,CUSA,0,4,0
