Year,Coach,School,Conf,W,L,Pct
2014,Urban Meyer,Ohio State,Big Ten,14,1,0.933
2014,Jimbo Fisher,Florida State,ACC,13,1,0.929
2014,Doc Holliday,Marshall,CUSA,13,1,0.929
2014,Mark Helfrich,Oregon,Pac-12,13,2,0.867
2014,Gary Patterson,TCU,Big 12,12,1,0.923
2014,Bryan Harsin,Boise State,MWC,12,2,0.857
2014,Nick Saban,Alabama,SEC,12,2,0.857
2014,Art Briles,Baylor,Big 12,11,2,0.846
2014,Mark Dantonio,Michigan State,Big Ten,11,2,0.846
2014,Rod Carey,Northern Illinois,MAC,11,3,0.786
2014,Paul Johnson,Georgia Tech,ACC,11,3,0.786
2014,Gary Pinkel,Missouri,SEC,11,3,0.786
2014,Jim McElwain,Colorado State,MWC,10,2,0.833
2014,Gary Andersen,Wisconsin,Big Ten,10,3,0.769
2014,Troy Calhoun,Air Force,MWC,10,3,0.769
2014,Justin Fuente,Memphis,American,10,3,0.769
2014,Todd Graham,Arizona State,Pac-12,10,3,0.769
2014,Jim Mora,UCLA,Pac-12,10,3,0.769
2014,Dan Mullen,Mississippi State,SEC,10,3,0.769
2014,Mark Richt,Georgia,SEC,10,3,0.769
2014,Dabo Swinney,Clemson,ACC,10,3,0.769
2014,Rich Rodriguez,Arizona,Pac-12,10,4,0.714
2014,Matt Wells,Utah State,MWC,10,4,0.714
2014,Willie Fritz,Georgia Southern,Sun Belt,9,3,0.75
2014,Bo Pelini,Nebraska,Big Ten,9,3,0.75
2014,Matt Campbell,Toledo,MAC,9,4,0.692
2014,David Cutcliffe,Duke,ACC,9,4,0.692
2014,Hugh Freeze,Ole Miss,SEC,9,4,0.692
2014,Mark Hudspeth,Louisiana,Sun Belt,9,4,0.692
2014,George O'Leary,UCF,American,9,4,0.692
2014,Bobby Petrino,Louisville,ACC,9,4,0.692
2014,Steve Sarkisian,USC,Pac-12,9,4,0.692
2014,Bill Snyder,Kansas State,Big 12,9,4,0.692
2014,Tommy Tuberville,Cincinnati,American,9,4,0.692
2014,Kyle Whittingham,Utah,Pac-12,9,4,0.692
2014,Skip Holtz,Louisiana Tech,CUSA,9,5,0.643
2014,David Bailiff,Rice,CUSA,8,5,0.615
2014,Jeff Brohm,Western Kentucky,CUSA,8,5,0.615
2014,Dave Doeren,North Carolina State,ACC,8,5,0.615
2014,P.J. Fleck,Western Michigan,MAC,8,5,0.615
2014,Kyle Flood,Rutgers,Big Ten,8,5,0.615
2014,Brian Kelly,Notre Dame,Ind,8,5,0.615
2014,Jerry Kill,Minnesota,Big Ten,8,5,0.615
2014,Gus Malzahn,Auburn,SEC,8,5,0.615
2014,Ruffin McNeill,East Carolina,American,8,5,0.615
2014,Bronco Mendenhall,Brigham Young,Ind,8,5,0.615
2014,Les Miles,LSU,SEC,8,5,0.615
2014,Ken Niumatalolo,Navy,Ind,8,5,0.615
2014,David Shaw,Stanford,Pac-12,8,5,0.615
2014,Bob Stoops,Oklahoma,Big 12,8,5,0.615
2014,Kevin Sumlin,Texas A&M,SEC,8,5,0.615
2014,Dino Babers,Bowling Green State,MAC,8,6,0.571
2014,Chris Petersen,Washington,Pac-12,8,6,0.571
2014,Dennis Franchione,Texas State,Sun Belt,7,5,0.583
2014,Tony Levine,Houston,American,7,5,0.583
2014,Scott Satterfield,Appalachian State,Sun Belt,7,5,0.583
2014,Steve Addazio,Boston College,ACC,7,6,0.538
2014,Blake Anderson,Arkansas State,Sun Belt,7,6,0.538
2014,Frank Beamer,Virginia Tech,ACC,7,6,0.538
2014,Bret Bielema,Arkansas,SEC,7,6,0.538
2014,Randy Edsall,Maryland,Big Ten,7,6,0.538
2014,Dan Enos,Central Michigan,MAC,7,6,0.538
2014,Kirk Ferentz,Iowa,Big Ten,7,6,0.538
2014,James Franklin,Penn State,Big Ten,7,6,0.538
2014,Mike Gundy,Oklahoma State,Big 12,7,6,0.538
2014,Dana Holgorsen,West Virginia,Big 12,7,6,0.538
2014,Butch Jones,Tennessee,SEC,7,6,0.538
2014,Sean Kugler,UTEP,CUSA,7,6,0.538
2014,Rocky Long,San Diego State,MWC,7,6,0.538
2014,Brian Polian,Nevada,MWC,7,6,0.538
2014,Steve Spurrier,South Carolina,SEC,7,6,0.538
2014,Will Muschamp,Florida,SEC,6,5,0.545
2014,Paul Chryst,Pitt,ACC,6,6,0.5
2014,Bill Clark,UAB,CUSA,6,6,0.5
2014,Matt Rhule,Temple,American,6,6,0.5
2014,Frank Solich,Ohio,MAC,6,6,0.5
