Year,Coach,School,Conf,W,L,Pct
2019,Ed Orgeron,LSU,SEC,15,0,1
2019,Dabo Swinney,Clemson,ACC,14,1,0.933
2019,Ryan Day,Ohio State,Big Ten,13,1,0.929
2019,Eli Drinkwitz,Appalachian State,Sun Belt,12,1,0.923
2019,Mario Cristobal,Oregon,Pac-12,12,2,0.857
2019,Bryan Harsin,Boise State,MWC,12,2,0.857
2019,Mike Norvell,Memphis,American,12,2,0.857
2019,Lincoln Riley,Oklahoma,Big 12,12,2,0.857
2019,Kirby Smart,Georgia,SEC,12,2,0.857
2019,Troy Calhoun,Air Force,MWC,11,2,0.846
2019,P.J. Fleck,Minnesota,Big Ten,11,2,0.846
2019,James Franklin,Penn State,Big Ten,11,2,0.846
2019,Brian Kelly,Notre Dame,Ind,11,2,0.846
2019,Dan Mullen,Florida,SEC,11,2,0.846
2019,Ken Niumatalolo,Navy,American,11,2,0.846
2019,Nick Saban,Alabama,SEC,11,2,0.846
2019,Luke Fickell,Cincinnati,American,11,3,0.786
2019,Lane Kiffin,Florida Atlantic,CUSA,11,3,0.786
2019,Billy Napier,Louisiana,Sun Belt,11,3,0.786
2019,Matt Rhule,Baylor,Big 12,11,3,0.786
2019,Kyle Whittingham,Utah,Pac-12,11,3,0.786
2019,Sonny Dykes,SMU,American,10,3,0.769
2019,Kirk Ferentz,Iowa,Big Ten,10,3,0.769
2019,Josh Heupel,UCF,American,10,3,0.769
2019,Skip Holtz,Louisiana Tech,CUSA,10,3,0.769
2019,Rocky Long,San Diego State,MWC,10,3,0.769
2019,Paul Chryst,Wisconsin,Big Ten,10,4,0.714
2019,Nick Rolovich,Hawaii,MWC,10,5,0.667
2019,Jim Harbaugh,Michigan,Big Ten,9,4,0.692
2019,Tyson Helton,Western Kentucky,CUSA,9,4,0.692
2019,Gus Malzahn,Auburn,SEC,9,4,0.692
2019,Bill Clark,UAB,CUSA,9,5,0.643
2019,Bronco Mendenhall,Virginia,ACC,9,5,0.643
2019,Tom Allen,Indiana,Big Ten,8,5,0.615
2019,Blake Anderson,Arkansas State,Sun Belt,8,5,0.615
2019,Craig Bohl,Wyoming,MWC,8,5,0.615
2019,Rod Carey,Temple,American,8,5,0.615
2019,Dave Clawson,Wake Forest,ACC,8,5,0.615
2019,Herm Edwards,Arizona State,Pac-12,8,5,0.615
2019,Jimbo Fisher,Texas A&M,SEC,8,5,0.615
2019,Hugh Freeze,Liberty,,8,5,0.615
2019,Justin Fuente,Virginia Tech,ACC,8,5,0.615
2019,Mike Gundy,Oklahoma State,Big 12,8,5,0.615
2019,Clay Helton,USC,Pac-12,8,5,0.615
2019,Tom Herman,Texas,Big 12,8,5,0.615
2019,Doc Holliday,Marshall,CUSA,8,5,0.615
2019,Chris Klieman,Kansas State,Big 12,8,5,0.615
2019,Lance Leipold,Buffalo,MAC,8,5,0.615
2019,Pat Narduzzi,Pitt,ACC,8,5,0.615
2019,Chris Petersen,Washington,Pac-12,8,5,0.615
2019,Jeremy Pruitt,Tennessee,SEC,8,5,0.615
2019,Scott Satterfield,Louisville,ACC,8,5,0.615
2019,Mark Stoops,Kentucky,SEC,8,5,0.615
2019,Justin Wilcox,California,Pac-12,8,5,0.615
2019,Chuck Martin,Miami (OH),MAC,8,6,0.571
2019,Jim McElwain,Central Michigan,MAC,8,6,0.571
2019,Gary Andersen,Utah State,MWC,7,6,0.538
2019,Mack Brown,North Carolina,ACC,7,6,0.538
2019,Matt Campbell,Iowa State,Big 12,7,6,0.538
2019,Mark Dantonio,Michigan State,Big Ten,7,6,0.538
2019,Shawn Elliott,Georgia State,Sun Belt,7,6,0.538
2019,Willie Fritz,Tulane,American,7,6,0.538
2019,Will Healy,Charlotte,CUSA,7,6,0.538
2019,Jay Hopson,Southern Mississippi,CUSA,7,6,0.538
2019,Tim Lester,Western Michigan,MAC,7,6,0.538
2019,Sean Lewis,Kent State,MAC,7,6,0.538
2019,Chad Lunsford,Georgia Southern,Sun Belt,7,6,0.538
2019,Jay Norvell,Nevada,MWC,7,6,0.538
2019,Kalani Sitake,Brigham Young,Ind,7,6,0.538
2019,Frank Solich,Ohio,MAC,7,6,0.538
2019,Steve Addazio,Boston College,ACC,6,6,0.5
2019,Jason Candle,Toledo,MAC,6,6,0.5
2019,Barry Odom,Missouri,SEC,6,6,0.5
2019,Chris Creighton,Eastern Michigan,MAC,6,7,0.462
2019,Butch Davis,Florida International,CUSA,6,7,0.462
2019,Manny Diaz,Miami (FL),ACC,6,7,0.462
2019,Mike Leach,Washington State,Pac-12,6,7,0.462
2019,Joe Moorhead,Mississippi State,SEC,6,7,0.462
2019,Lovie Smith,Illinois,Big Ten,6,7,0.462
2019,Dino Babers,Syracuse,ACC,5,7,0.417
2019,Brent Brennan,San Jose State,MWC,5,7,0.417
2019,Neal Brown,West Virginia,Big 12,5,7,0.417
2019,Jamey Chadwell,Coastal Carolina,Sun Belt,5,7,0.417
2019,David Cutcliffe,Duke,ACC,5,7,0.417
2019,Scott Frost,Nebraska,Big Ten,5,7,0.417
2019,Thomas Hammock,Northern Illinois,MAC,5,7,0.417
2019,Chip Lindsey,Troy,Sun Belt,5,7,0.417
2019,Mike Neu,Ball State,MAC,5,7,0.417
2019,Gary Patterson,TCU,Big 12,5,7,0.417
2019,Jonathan Smith,Oregon State,Pac-12,5,7,0.417
2019,Mel Tucker II,Colorado,Pac-12,5,7,0.417
2019,Matt Viator,Louisiana-Monroe,Sun Belt,5,7,0.417
2019,Jeff Monken,Army,Ind,5,8,0.385
2019,Willie Taggart,Florida State,ACC,4,5,0.444
2019,Mike Bobo,Colorado State,MWC,4,8,0.333
2019,Jeff Brohm,Purdue,Big Ten,4,8,0.333
2019,Dave Doeren,North Carolina State,ACC,4,8,0.333
2019,Dana Holgorsen,Houston,American,4,8,0.333
2019,Mike Houston,East Carolina,American,4,8,0.333
2019,Chip Kelly,UCLA,Pac-12,4,8,0.333
2019,Seth Littrell,North Texas,CUSA,4,8,0.333
2019,Matt Luke,Ole Miss,SEC,4,8,0.333
